武器名称	复杂度	远近	价格	伤害骰	伤害类型	重量	属性
短棒 club	简易	近战	1sp	1 d4 	钝击	2 磅	轻型
匕首 dagger	简易	近战	2gp	1 d4	穿刺	1 磅	灵巧，轻型，投掷（射程 20/60）
巨棒 greatclub	简易	近战	2sp	1 d8	钝击	10 磅	双手
手斧 handaxe	简易	近战	5gp	1 d6	挥砍	2 磅	轻型，投掷（射程 20/60）
标枪 javelin	简易	近战	5sp	1 d6	穿刺	2 磅	投掷（射程 30/120）
轻锤 light hammer	简易	近战	2gp	1 d4	钝击	2 磅	轻型，投掷（射程 20/60）
硬头锤 mace	简易	近战	5gp	1 d6	钝击	4 磅	-
长棍 quarterstaff	简易	近战	2sp	1 d6	钝击	4 磅	两用（1d8）
镰刀 sickle	简易	近战	1gp	1 d4	挥砍	2 磅	轻型
矛 spear	简易	近战	1gp	1 d6	穿刺	3 磅	投掷（射程 20/60），两用（1d8）
轻弩 crossbow,light	简易	远程	25gp	1 d8	穿刺	5 磅	弹药（射程 80/320），装填，双手
飞镖 dart	简易	远程	5cp	1 d4	穿刺	1/4 磅	灵巧，投掷（射程 20/60）
短弓 shortbow	简易	远程	25gp	1 d6	穿刺	2 磅	弹药（射程 80/320），双手
投石索 sling	简易	远程	1sp	1 d4	钝击	-	弹药（射程 30/120）
战斧 battleaxe	军用	近战	10gp	1 d8	挥砍	4 磅	两用（1d10）
链枷 flail	军用	近战	10gp	1 d8	钝击	2 磅	-
大砍刀 glaive	军用	近战	20gp	1 d10	挥砍	6 磅	重型，触及，双手
巨斧 greataxe	30gp	军用	近战	1 d12	挥砍	7 磅	重型，双手
